advisor,advice_text,advisor_prev_exp,advisor_prev_last,advisor_prev_first,advisor_rel_exp,advisor_rel_skill,advisor_avg_perf,advisor_prev_freq,advisor_input,advisor_browser,advisor_adv_imp,advisor_age,advisor_gender,advisor_mean,advisor_var,advisor_sd,advisor_median,advisor_advice_wordcount,advisor_animals_wordcount,advisor_efficacy,upper,lower,rank,eff_thirds,eff_3split
ad28,Write down the words you have already used. This will make it easier for you not to waste time trying to use the same word when you're stumped and can't find new ones.,I'm not sure,NA,NA,I was less experienced than most people,I was as skilled as most people,7,Less than once a year,trackpad,Google Chrome,20,24,Male,6.166666667,8.966666667,2.994439291,6,33,13,3.922222222,4.693290387,3.151154057,65.5,Average,Best
ad09,"1. Look for words all in one row first2. The same words seem to appear across multiple boards3. Keep it short, focus on three letter words.4. Look at the vowels and see if you can build around those","No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was as skilled as most people,4,I never play word-finding games,trackpad,Google Chrome,73,24,Male,5.833333333,3.366666667,1.834847859,6,37,17,3.92,4.451016899,3.388983101,64,Average,Best
ad22,"Try to focus on the vowels. Notice where the A E I O U's are to help get an idea of what words you can make. Be aware of were S's are, they are a good way of turning 1 word into 2 using a plural.","No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was less skilled than most people,6,I never play word-finding games,mouse,Google Chrome,30,27,Male,10.16666667,16.16666667,4.020779361,11,44,15,3.86,4.172914988,3.547085012,63,Average,Best
ad47,"Try to focus on a small section of letters to find words for awhile.  This can help you spark ideas to find more words without having to search the whole board at once, which can slow you down.","Yes, I've played some version of this game before",Within the last year,Within the last year,I was more experienced than most people,I was more skilled than most people,10,A few times a year,mouse,Google Chrome,54,24,Female,14.66666667,6.666666667,2.581988897,14.5,38,19,3.8,4.29332385,3.30667615,61.5,Average,Best
ad49,"Ok, first of all pay close attention! It seems easier than it actually is.  If you see a word that you can make, but you have to drag back the other way it will NOT let you, so that word will not work. So lets say the word is work and -w-o-r and k is on the other side you cannot drag back. Find one letter and look all ways to see if it can make a word, then move on to another. ","No, I've never played any version of this game before",NA,NA,I was as experienced as most people,I was less skilled than most people,3,Less than once a year,mouse,Google Chrome,33,31,Male,3.833333333,1.366666667,1.169045194,4,83,22,3.8,4.30262469,3.29737531,61.5,Average,Best
ad40,"Don't panic! Find compound words and be sure to look for suffixes and prefixes to help get a lot of words quickly. Also, give yourself a minute to look for opportunities to make a lot of short words together.","No, I've never played any version of this game before",NA,NA,I was as experienced as most people,I was as skilled as most people,15,Less than once a year,mouse,Google Chrome,20,33,Male,12.16666667,10.16666667,3.188521078,12.5,39,16,3.79,4.484258408,3.095741592,60,Average,Best
ad67,"Look for words in the puzzles, then drag your mouse to form words. You can not use the same word twice. Each word must be at least 2 letters. You can drag the mouse vertically, horizontally and diagonally to form the words. Your goal is to form as many words in one minute.","No, I've never played any version of this game before",NA,NA,I was as experienced as most people,I was as skilled as most people,8,A few times a month,trackpad,Safari,60,35,Female,9.666666667,11.86666667,3.444802849,10.5,52,20,3.715789474,4.388970938,3.042608009,59,Average,Best
ad51,"You will have a time limit to find words so be as quick as possible.Even short words qualify.The same words qualify as long as you use different letters in the block. ","No, I've never played any version of this game before",NA,NA,I was as experienced as most people,I was as skilled as most people,6,Less than once a year,mouse,Mozilla Firefox,67,35,Female,6.166666667,4.566666667,2.136976057,6,33,24,3.688888889,4.499637308,2.87814047,58,Average,Best
ad18,"1.  Look for vowels.  All words need one.2. Work around a single vowel until you have found all words with that vowel.3. YOu might start with vowel on top of board.  Then move to another vowel on bottom of board to make sure you do not duplicate.","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was less experienced than most people,I was less skilled than most people,10,Less than once a year,trackpad,Google Chrome,14,69,Female,6.166666667,2.966666667,1.722401424,6,46,10,3.66,4.279694322,3.040305678,57,Average,Best
ad48,"The only advice I could think of is, don't panic! And if you start making a word that isn't one, just keep on as quickly as you can. If you mess one up, shake it off and you'll do better the next one. It IS only a game.","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,5,Less than once a year,mouse,Google Chrome,10,61,Female,4.666666667,1.466666667,1.211060142,4.5,48,17,3.621052632,4.209020633,3.03308463,56,Average,Best
ad73,"Make sure You click on the corner or edge of the tile, if not the game wont accept it and then You get a sorry and look like a complete idiot for makeing a stupid word.","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was more experienced than most people,I was more skilled than most people,20,A few times a month,mouse,Mozilla Firefox,50,53,Female,6,2.8,1.673320053,5,36,13,3.61,4.231962091,2.988037909,55,Average,Best
ad33,"Don't just think about a letter a word starts with - think about suffixes and prefixes, for example, words that end in -ix, -ing, or start with re-Look for plurals and past tenses, words that end in -ed or -s, -esDon't forget to look diagonally and backwords!Words within words count! eat, seat, eats, seatsYou may get extra points for obscure words. Be well-read to improve your score!","Yes, I've played some version of this game before",Within the last 6 months,More than 5 years ago,I was more experienced than most people,I was more skilled than most people,5,A few times a month,mouse,Google Chrome,80,40,Female,11.16666667,1.366666667,1.169045194,11.5,70,31,3.6,4.377174369,2.822825631,54,Average,Best
ad70,"Place the cursor on the beginning letter of the word you want to make. Hold down click and drag it to the other letters of the word. Make sure that all of the letters are touching, they have to be together in the game.","No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was as skilled as most people,5,A few times a month,trackpad,Google Chrome,61,45,Male,9.333333333,23.86666667,4.885352256,11.5,44,24,3.588888889,4.147475392,3.030302386,53,Average,Best
ad58,"Know your word before you click, know how to spell it as well. If you don't this slows down your game, reducing the amount of time you have left. Good luck!","No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was less skilled than most people,NA,Less than once a year,mouse,Google Chrome,19,28,Female,8,5.6,2.366431913,7.5,31,23,3.57,4.135364345,3.004635655,52,Average,Average
ad21,"Look for an ""s"" or an ""ed"" to be able to attach onto words to make them plural or the past tense.  Look for ""ly"" to make a lot of adverbs.  If you want to have the most words, focus on shorter words as opposed to longer words (something I didn't really do).","Yes, I've played some version of this game before",Within the last 6 months,More than 5 years ago,I was more experienced than most people,I was as skilled as most people,20,A few times a month,mouse,Google Chrome,82,33,Female,20.33333333,13.46666667,3.669695719,19.5,53,19,3.566666667,4.270019979,2.863313354,51,Average,Average
ad37,"Go for simple words starting with consonants. Move the mouse slowly and consistently. If it highlights a wrong letter, try clicking on the letter to start over.","Yes, I've played some version of this game before",Within the last 6 months,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,7,A few times a year,mouse,Google Chrome,20,26,Female,7.166666667,6.966666667,2.639444386,7,27,17,3.5,4.035969363,2.964030637,50,Average,Average
ad66,"First, look for basic words. When you find these basic words, look for plurals, past tense, variations, etc. This is a quick way to rack up points. Look for vowels.  You can not make words without them, so find where they are in relation to consonants and map out words accordingly.Look for popular letters that are combined.  Things like TH-, ST-, etc., are the beginnings and ends of a wide variety of words. ","Yes, I've played some version of this game before",Within the last 6 months,More than 5 years ago,I was more experienced than most people,I was as skilled as most people,12,A few times a year,mouse,Google Chrome,80,35,Male,16.33333333,9.066666667,3.011090611,16,74,20,3.477777778,4.28024764,2.675307916,49,Average,Average
ad03,"Look for sequences of letters that likely indicate a word can be formed. Try and find what words you can from these sequences. Sequences include such letter combinations as SE, TA, LA, PL, CH, etc. Keeps going from letter sequence to letter sequence. Look to form both singular and plural forms of a word if you can.","No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was as skilled as most people,10,A few times a year,mouse,Mozilla Firefox,60,54,Male,9.166666667,8.566666667,2.926886856,9,57,20,3.473684211,4.029611448,2.917756973,48,Average,Average
ad63,"You should not worry too much about getting longer words, since they don't count for more points. Find three letter words and if possible add an ""s"" on to the end or beginning. Do a lot of work around the ""s"". Try to start with one letter until it's exhausted so you don't forget where you've been.","Yes, I've played some version of this game before",Within the last month,More than 5 years ago,I was more experienced than most people,I was more skilled than most people,NA,A few times a year,trackpad,Google Chrome,39,25,Male,15.16666667,5.766666667,2.401388487,14.5,57,16,3.47,3.92958219,3.01041781,47,Average,Average
ad76,Build your vocabulary ,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was less experienced than most people,I was less skilled than most people,NA,A few times a month,mouse,Google Chrome,0,22,Female,7,1.6,1.264911064,6.5,3,12,3.46,3.999219709,2.920780291,46,Average,Average
ad64,"Look for easy pluralizations for that may boost the number of words that you find; for example, 'cat' and 'cats'. Time goes quickly!","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,10,Less than once a year,trackpad,Mozilla Firefox,60,29,Male,10,5.2,2.28035085,10,23,15,3.366666667,3.880590442,2.852742891,45,Average,Average
ad35,Try and make several words out of the word you just got. Also see if it spells something backwards. Making one word seems to help the fluid-ness of finding the next. It will also help to try a couple different strategies while playing and seeing which one works best for you. ,"Yes, I've played some version of this game before",Within the last year,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,7,A few times a year,mouse,Google Chrome,40,24,Male,7,8,2.828427125,6.5,51,16,3.357894737,4.029033935,2.686755538,44,Average,Average
ad45,It is difficult to choose letters  in a row,"No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was less skilled than most people,2,A few times a year,trackpad,Mozilla Firefox,44,31,Male,4,0.8,0.894427191,4,9,6,3.35,3.975909864,2.724090136,43,Average,Average
ad31,"Try to look at the whole puzzle and look for bits of words that you may know. Try not to go letter by letter, it will only slow you down.","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was less experienced than most people,I was less skilled than most people,4,Less than once a year,trackpad,Mozilla Firefox,20,26,Male,4.166666667,4.166666667,2.041241452,4.5,30,14,3.336842105,4.142386145,2.531298065,42,Average,Average
ad17,"Make small words. Try to use variations of the same word bases  for, fore, ford, fords, etc","No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was less skilled than most people,10,Less than once a year,trackpad,Internet Explorer,50,35,Male,12.83333333,14.16666667,3.763863264,13.5,17,31,3.33,4.111264158,2.548735842,41,Average,Average
ad39,What helped me the most was by looking at the vowels and seeing common constants that I could make alot of words out of and sometimes I would take words and see if I could reverse any of the letters to make a new word. ,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,15,A few times a year,trackpad,Mozilla Firefox,19,24,Female,8.166666667,6.566666667,2.562550813,7.5,45,17,3.322222222,3.962511962,2.681932482,40,Average,Average
ad77,Make sure to start with easy words with few letters first and look at the board from every angle.,"Yes, I've played some version of this game before",Within the last year,Within the last 3 years,I was less experienced than most people,I was less skilled than most people,10,Less than once a year,mouse,Google Chrome,47,19,Male,9.5,6.7,2.588435821,10,19,17,3.311111111,4.092466097,2.529756125,39,Average,Average
ad04,My only advice is to make sure that you understand what you need to do with your mouse when clicking and holdling to select the letters.,I'm not sure,NA,NA,I was less experienced than most people,I was as skilled as most people,5,I never play word-finding games,trackpad,Mozilla Firefox,19,52,Male,3.666666667,1.466666667,1.211060142,3,26,17,3.29,3.850915605,2.729084395,38,Average,Average
ad55,Look for vowels to begin and then use the letters around the vowels to make words.  Use an s around the same words to make the word twice with one being plural.  ,"Yes, I've played some version of this game before",Within the last week,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,12,A few times a year,trackpad,Google Chrome,65,53,Female,13,0.8,0.894427191,13,32,13,3.288888889,3.864021092,2.713756685,37,Average,Average
ad65,"I would say the best bet is to look for the smaller words first, and then build on them. For example, find ""eat"" and then ""eats"". Use as many variations of the same small set of letters as possible until you've exhausted all possibilities.","Yes, I've played some version of this game before",Within the last 6 months,Within the last 6 months,I was less experienced than most people,I was less skilled than most people,20,A few times a month,trackpad,Google Chrome,31,33,Female,11.66666667,3.066666667,1.751190072,11.5,44,22,3.28,4.01975814,2.54024186,36,Average,Average
ad69,"The most important thing is to not just sit by and stare at the board.  You need to take the first few seconds to look at all the letters but then you need to just begin moving.  If you just sit there looking at all the letters you can end up feeling overwhelmed and lose time on making words. Next, you do not need to make complex, long words.  You are looking to get points for creating as many words as possible.  Therefore, the best advice is to begin right away by looking at one letter and branching off to see what words you can create.  It is usually better to begin by looking at a consonant and looking at nearby letters to see all the words you can create.  And you just begin by creating words.Overall, the best advice is to not get lost staring at the box.  Second, begin right away and start looking for easy words you can create.  Get in a rhythm and the words will start flowing out.                  ","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,14,A few times a year,mouse,Safari,68,33,Female,15.33333333,7.866666667,2.804757862,16,174,20,3.270588235,3.888683311,2.65249316,35,Average,Average
ad23,Just take your time and try to find as many words as possible. Lots of words can be spelled forward and then a new word can be used using the same word backwards.,"No, I've never played any version of this game before",NA,NA,I was as experienced as most people,I was as skilled as most people,5,A few times a year,mouse,Google Chrome,50,31,Female,5.166666667,2.166666667,1.471960144,5.5,33,13,3.221052632,3.815548779,2.626556484,34,Average,Average
ad29,"look for letters that are next to vowels or common consonant combinations like ""st"" or ""th.""  Rember that 3-letter words are acceptable and often you can then make 4-letter words with the same 3 letters.  Sometimes you can make 5-letter words with 4-letter words you have made by adding an ""s."" Avoid rarely used letters like ""x.""",I'm not sure,NA,NA,I was more experienced than most people,I was more skilled than most people,5,A few times a year,mouse,Google Chrome,39,68,Female,7.833333333,5.366666667,2.316606714,8.5,56,21,3.2,4.136050467,2.263949533,32.5,Average,Average
ad54,"First, look for small (3-letter) words. When you find a word, see if you can extend that word with one more letter, especially with an S; also look for the ED inding to extend verbs. For example, TEA can be extended to TEAR or TEAM; TEAR can be extended to TEARS; EAR can be extended to SEAR. You can also scramble letters of the same word; or example, EAST can become SEAT and TEAS.","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,9,A few times a year,trackpad,Google Chrome,40,57,Female,10.83333333,8.966666667,2.994439291,11,74,17,3.2,3.738212971,2.661787029,32.5,Average,Average
ad06,"try to find a constanant  with a vowel, and work from that.","No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was less skilled than most people,NA,I never play word-finding games,mouse,Google Chrome,10,58,Female,5,2.4,1.549193338,4.5,12,20,3.178947368,3.711599288,2.646295449,31,Average,Average
ad57,"Look for all versions/tenses of a specific word. For example, if you see ""TALK"", also look to see if you can find ""TALKED"". Between scramble boards, look to see if there are repeat words. That is, some of the words you found in board 1 might also be in board 2 or 3. Rather than pick a letter and search for nearby options, loosen your focus and look for general word patterns over the whole board. ","Yes, I've played some version of this game before",Within the last year,Within the last 3 years,I was as experienced as most people,I was as skilled as most people,7,A few times a year,mouse,Google Chrome,28,25,Male,8,1.2,1.095445115,8,73,14,3.15,3.787312064,2.512687936,30,Average,Average
ad50,"Don't be concerned about making long words with more letters, all words are worth 1 point. Still use the plurals though - leap as well as leaps - whenever possible for more points.","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,35,Less than once a year,mouse,Google Chrome,71,32,Female,10.5,8.3,2.880972058,10.5,30,11,3.128571429,3.7814121,2.475730757,29,Average,Average
ad01,try to look for three letter words since they are easy to find,"Yes, I've played some version of this game before",Over a year ago,Within the last 3 years,I was as experienced as most people,I was as skilled as most people,10,Less than once a year,mouse,Mozilla Firefox,81,22,Female,9.666666667,5.466666667,2.338090389,9.5,13,19,3.122222222,3.758621178,2.485823266,28,Average,Average
ad56,"Make sure your mouse is on the correct letter before you start making your word. Make sure you look for plurals. For every word you find, see if other words can be found in it, like by reading the word backwards.","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,15,Less than once a year,trackpad,Google Chrome,20,25,Female,14.66666667,11.06666667,3.326659987,15,41,25,3.1,3.737447935,2.462552065,27,Average,Average
ad15,"My advice to you is just to start picking lettersthe words will begin to flow as you start playing the gamedon't get distracted by not finding any words to begin with after a few seconds they will begin to pop out at you ","Yes, I've played some version of this game before",Within the last year,Within the last 5 years,I was less experienced than most people,I was less skilled than most people,5,A few times a year,mouse,Google Chrome,5,47,Male,4.166666667,4.566666667,2.136976057,3.5,45,13,3.042105263,3.595579975,2.488630551,26,Average,Worst
ad32,I suggest you keep you finger down on the mouse as you are sliding as mine kept slipping and i had to tart over. You may also be on the lookout for plurals as I found quite a few. Also move quickly as that 1 minute flies by!!,"Yes, I've played some version of this game before",Within the last week,Within the last 5 years,I was as experienced as most people,I was as skilled as most people,25,A few times a week,mouse,Google Chrome,75,58,Female,26.16666667,2.566666667,1.602081979,25.5,47,18,2.988235294,3.648776647,2.327693941,25,Average,Worst
ad60,"Look the easy words like ""sea"" ""set"" ""test"" sometimes u can click them more then 1. ","No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was less skilled than most people,NA,A few times a year,mouse,Mozilla Firefox,57,19,Male,5.666666667,7.466666667,2.732520204,5.5,15,8,2.96,3.423987296,2.496012704,24,Average,Worst
ad41,"My advice is to concentrate on short words, that way you'll find more of them.","No, I've never played any version of this game before",NA,NA,I was as experienced as most people,I was as skilled as most people,9,A few times a year,other,Google Chrome,19,45,Male,8.666666667,2.666666667,1.632993162,9,15,20,2.95,3.435987871,2.464012129,23,Average,Worst
ad74,"look for the vowelslook for words that you can build ongo with your instinct","No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was less skilled than most people,NA,Less than once a year,trackpad,Google Chrome,50,48,Female,5.833333333,3.766666667,1.940790217,6,16,20,2.936842105,3.586277781,2.287406429,22,Average,Worst
ad46,"I would suggest looking for ""s"" in the grid so you can make plurals of the same words. Also If you see letters such as ""eed"" together, you can look for letter to make word with it, like seed, weed, reed, feed. These are a couple quick tips to get more words","No, I've never played any version of this game before",NA,NA,I was as experienced as most people,I was as skilled as most people,15,A few times a month,mouse,Google Chrome,60,43,Female,16.83333333,9.366666667,3.060501048,17.5,52,17,2.93,3.315329661,2.544670339,21,Average,Worst
ad34,"Word length doesn't matter. A three-letter word will give one point, just like a six-letter word. Go for the simpler words. That way you can get more short words in a minute than wasting time looking for longer words.","Yes, I've played some version of this game before",Over a year ago,Within the last 5 years,I was as experienced as most people,I was as skilled as most people,10,Less than once a year,mouse,Google Chrome,80,28,Female,11.33333333,6.266666667,2.503331114,11,39,13,2.922222222,3.457546665,2.38689778,20,Average,Worst
ad44,The only advice I can give is try to think fast and try to think of words that are more than 3 letters. A lot of the words I found were actually very long and take a a lot of thinking to map out on the board. Remember that the letters just need to be touching,"No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was less skilled than most people,5,Less than once a year,mouse,Google Chrome,40,25,Male,5,2.8,1.673320053,4,55,22,2.831578947,3.536492887,2.126665007,18.5,Worst,Worst
ad52,"Keep your fingers moving; look for common suffixes, e.g., -ear, -art, -are so that you can add a letter before them (e.g., -art, could be dart, part, etc); continuously scan back and forth, up and down.  Make sure your touch pad or mouse are smooth and easy to use so you don't accidentally flow onto a letter you don't want because you can't go backwards.  If you see a Q but no U, obviously don't click on it. Scan for common letters as well.  Look for the most commonly used words, like ""and"".  Most importantly, the more you play, the better you will get.  And take your time - if you rush, you'll be putting pressure on yourself and you will not find as many words as you are capable of.","Yes, I've played some version of this game before",Within the last week,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,8,A few times a week,trackpad,Safari,30,60,Female,15.83333333,4.966666667,2.228601953,16,130,18,2.831578947,3.391709082,2.271448813,18.5,Worst,Worst
ad10,"One things is too look for words and see if you can make them plural. Rat can be come Rats, so you can essentially double up word counts just by adding a letter. ","Yes, I've played some version of this game before",Within the last 6 months,Within the last 6 months,I was as experienced as most people,I was as skilled as most people,15,A few times a year,trackpad,Google Chrome,49,29,Male,14.16666667,4.566666667,2.136976057,14,33,21,2.715789474,3.31311603,2.118462917,17,Worst,Worst
ad59,"When making words try to make longer words, not just 3 letters.","No, I've never played any version of this game before",NA,NA,I was less experienced than most people,I was less skilled than most people,15,I never play word-finding games,mouse,Mozilla Firefox,20,58,Female,4.666666667,1.066666667,1.032795559,5,11,14,2.711111111,3.218629029,2.203593193,16,Worst,Worst
ad72,"Try and look for the plural of a word that you find, or if it's possible to add an 'ed' to the end to get multiple points for a the same base word. Also, make sure you don't rush so you're careful in choosing where you click your mouse, because if you rush and start on the wrong letter then it wastes time. ","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was less experienced than most people,I was less skilled than most people,12,Less than once a year,trackpad,Google Chrome,11,30,Female,12.16666667,10.16666667,3.188521078,11.5,63,26,2.705882353,3.498702644,1.913062062,15,Worst,Worst
ad27,"My advice would be to take your time when highlighting letters to make sure they all turn red and you won't have to go back, ultimately wasting time. ","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,9,Less than once a year,trackpad,Google Chrome,61,33,Female,11,2.8,1.673320053,10,28,15,2.59,3.171373148,2.008626852,14,Worst,Worst
ad24,"Look for short words, at least three letters, as longer words don't give you more points. Look around vowels because almost all words have vowels in them, especially short words. The type of words you'll find will generally be consonant-vowel-consonant.","Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,7,Less than once a year,mouse,Google Chrome,20,30,Male,7.5,3.5,1.870828693,7,40,22,2.53,3.303273969,1.756726031,12.5,Worst,Worst
ad53,"Try to focus on small words that are three or four letters long because you should be able to find those quicker. Try to focus on the vowels because if I'm not mistaken most words have vowels. Also, try to scan in all different directions to try to put a short word together.",I'm not sure,NA,NA,I was less experienced than most people,I was less skilled than most people,4,Less than once a year,mouse,Google Chrome,20,39,Male,2,2,1.414213562,2,53,9,2.53,3.08179611,1.97820389,12.5,Worst,Worst
ad38,My advice would be to see if you can make your word plural. so you can make two words,"No, I've never played any version of this game before",NA,NA,I was as experienced as most people,I was as skilled as most people,7,A few times a year,mouse,Google Chrome,48,38,Female,8.833333333,6.966666667,2.639444386,8.5,19,15,2.455555556,3.312485103,1.598626008,11,Worst,Worst
ad13,Make us of the letter s when it appears. Remember that words can be made in any order.,I'm not sure,NA,NA,I was as experienced as most people,I was as skilled as most people,5,Less than once a year,trackpad,Mozilla Firefox,10,27,Male,4.333333333,2.666666667,1.632993162,4,18,13,2.41,3.039364759,1.780635241,10,Worst,Worst
ad75,be precise in how you move your mouse around the boxes. if you hit the wrong box you have to start over in selecting the word. when you are working on a time limit that can hamper you. ,I'm not sure,NA,NA,I was as experienced as most people,I was less skilled than most people,7,Less than once a year,mouse,Google Chrome,61,30,Male,6.833333333,4.966666667,2.228601953,7,38,21,2.4,2.936394722,1.863605278,9,Worst,Worst
ad26,Words are centered around the vowels. Try to use as many plurals as possible.,"Yes, I've played some version of this game before",Within the last 6 months,More than 5 years ago,I was as experienced as most people,I was as skilled as most people,8,A few times a month,trackpad,Google Chrome,10,21,Male,11.66666667,7.066666667,2.658320272,12.5,14,22,2.277777778,2.805230378,1.750325178,8,Worst,Worst
