participant,log_duration,log_condition,advicecode,handed,observers,exclude,exclude kind,exclude_why,throw1,throw2,throw3,throw4,throw5,throw6,throw7,throw8,throw9,throw10,throw11,throw12,condition,playedbefore,playedyearsago,playedoften_txt,playedoften_num,adv_helpf,advice_imp,useadvice,english,age,gender
231,3:35,1,54,Right,0,,,,4.45,1.6,1.45,1.2,-99,5.6,3.5,3.675,5.525,4.7,2.5,2.75,advice,yes,2,every few years,1,4,3,yes,yes,56,male
232,3:47,1,13,Left,0,,,,2.8,1.65,2,2.7,-99,-99,-99,-99,-99,5.6,-99,-99,advice,yes,1,every few years,1,2,1.9,yes,yes,20,male
233,3:49,1,40,Left,1,,,,1.95,2.1,1.15,0.4,1.875,3.925,1.1,-99,-99,2.425,2.9,3.4,advice,yes,10,a few times a month,3,4,4.7,yes,yes,19,male
234,2:32,1,13,Right,0,,,,2.3,5.425,0.55,0.575,1.2,1.3,4,1.175,1.425,-99,1.25,4.4,advice,yes,10,every few years,1,3,4.6,yes,yes,29,male
235,2:35,1,72,Right,0,,,,3.825,1.25,5.3,2.6,2.2,6.325,3.525,4.1,3.175,1.925,0.5,0.525,advice,no,,,,4,4.9,yes,yes,23,female
236,2:42,1,101,Right,0,,,,3.35,0.475,0.825,3.325,1.25,3.625,4.025,1.725,1.875,4.425,3.225,3.25,advice,yes,5,every few years,1,4,1.8,unsure,yes,27,male
237,2:45,1,78,Right,0,,,,7.85,6.05,6.6,4.2,7.3,-99,-99,3.925,7.9,6.375,7.925,3.625,advice,yes,10,every few years,1,2,4.2,unsure,yes,22,other
238,2:48,1,81,Right,0,,,,4.275,-99,1.825,3.275,5.475,2.925,4.6,0.925,3.1,4.1,-99,1.25,advice,no,,,,4,2.5,yes,yes,23,female
239,2:51,0,0,Right,0,,,,5.8,2.775,2.65,5.35,2.1,4.1,1.8,2.1,5,1.075,3.7,3.7,no advice,yes,30,every few years,1,,,,yes,55,male
240,2:56,1,69,Right,1,,,,8.5,1.3,2.3,6.5,3.25,1.9,1.15,-99,3.05,4.075,6.05,3.45,advice,yes,35,every few years,1,4,1.2,yes,yes,50,female
242,3:10,1,120,Right,0,,,,-99,5.25,1.775,7.325,2.775,2.975,7.25,7.2,7.575,2.3,7.7,1.7,advice,yes,2,every few years,1,4,2.7,unsure,no,25,female
243,3:38,1,81,Right,0,,,,3.475,5.175,-99,-99,5.8,4.2,5.8,7.25,-99,-99,-99,4,advice,no,,,,2,1.5,yes,no,22,female
245,3:42,1,96,Right,0,,,,3.4,5.5,7.575,3.75,5.35,5.2,5.125,1.75,7.75,3.8,2.275,5.05,advice,yes,17,every few years,1,2,1.9,unsure,no,30,male
246,3:43,1,119,Right,0,,,,0.425,3.5,-99,4.35,7.05,3.225,1.8,0.9,4.575,4.05,6.8,4.35,advice,yes,15,every few years,1,4,3.7,yes,no,33,female
247,3:44,1,95,Right,0,,,,9.125,7,5.5,5.925,1.2,-99,0.5,6.5,5.05,2.025,1.925,3.3,advice,yes,10,every few years,1,5,7.4,yes,yes,26,male
248,3:45,1,100,Right,0,,,,6.1,2.025,1.875,2.925,1.3,1.725,1.5,3.7,1.9,1.6,4.05,1.5,advice,yes,5,a few times a year,2,4,2,yes,no,23,male
249,3:47,1,59,Right,0,,,,3.5,3.4,5.3,3.2,1.2,1.3,-99,7.8,5.775,-99,4.2,4.4,advice,yes,5,every few years,1,3,7.1,unsure,yes,27,other
250,3:53,1,123,Right,0,,,,7.65,7.375,4.3,3.45,7.9,5.65,3.375,-99,4.85,7.8,4.275,6.3,advice,yes,10,every few years,1,4,2.5,yes,yes,19,female
251,3:56,1,39,Right,0,,,,4.55,6.125,5.575,4.55,5.4,1.95,2.3,2.6,-99,-99,0.9,3.5,advice,yes,10,every few years,1,4,3.2,unsure,yes,22,male
252,2:30,1,95,Right,0,,,,2.675,4.35,-99,-99,5.5,-99,5.575,-99,-99,5.2,5.8,-99,advice,no,,,,4,3,no,no,43,female
253,2:36,1,118,Right,0,,,,5.4,-99,5.575,5.175,5.2,7.4,-99,6.6,3.6,1.2,7.85,-99,advice,yes,7,a few times a year,2,5,8.4,yes,yes,20,female
254,2:37,1,73,Right,0,,,,7.925,0.825,0.625,3.1,5,1.85,0.5,1.5,1.425,4.2,1.95,0.225,advice,yes,4,every few years,1,4,1.65,yes,yes,18,male
255,2:39,1,98,Right,0,,,,3,4.8,2.9,7.5,3.175,4.275,0.8,2.5,4,5.675,1.175,3.375,advice,yes,20,a few times a year,2,4,6.7,yes,yes,25,male
256,2:44,1,114,Left,0,,,,-99,2.175,5.8,-99,6.225,3.5,3,4.775,5.575,3.9,3.8,3.975,advice,yes,6,every few years,1,4,6.9,yes,yes,19,female
257,2:47,1,97,Right,1,,,,3.725,1.175,7.175,5.375,4.8,6.625,7.475,-99,7.125,4.9,2,5.2,advice,yes,15,every few years,1,4,4.1,yes,yes,27,female
258,2:49,1,104,Right,0,,,,-99,-99,8.7,-99,5.35,-99,5.825,5.2,-99,4.225,1.825,1,advice,yes,10,every few years,1,5,8.4,yes,yes,27,female
259,3:01,1,94,Right,0,,,,3.4,5.1,4,4.225,0.7,4,3.625,5.475,1.5,4.025,4.1,1.575,advice,yes,5,every few years,1,4,0,unsure,yes,22,male
260,3:06,1,100,Right,0,,,,0.775,1.6,1,1.375,1.8,1.375,1.4,0.525,1.875,0.775,0.9,0.9,advice,yes,20,a few times a year,2,4,2.8,no,no,48,male
261,3:10,1,93,Right,0,,,,3.25,1.75,2,2.325,1.875,2.05,3.125,0.35,1.05,3.225,2.35,0.2,advice,yes,15,a few times a year,2,4,1.4,no,yes,22,male
262,3:14,1,85,Right,0,,,,2.6,4.325,5.675,1,4.1,5.875,1.7,3.075,3.2,4,3.9,3.2,advice,yes,5,a few times a year,2,4,6,yes,no,27,female
263,3:17,1,72,Left,0,,,,6.7,-99,1.8,-99,-99,5.275,4,3.125,3.125,1.175,3.6,5.375,advice,yes,10,a few times a year,2,3,5.2,yes,no,24,male
264,3:23,1,89,Right,1,,,,5.9,-99,7.875,4.675,5.825,6.975,2,-99,1.375,2.425,3.15,5.325,advice,yes,15,every few years,1,4,5,no,yes,50,female
265,3:25,1,80,Right,1,,,,4.175,-99,2.8,1.175,3.1,2.925,3.2,3.6,4.475,1.775,2.225,3.325,advice,yes,10,a few times a year,2,3,2.1,yes,yes,25,male
266,3:29,1,115,Right,0,,,,1.525,3.275,2.825,3.15,3.375,1.275,1.35,2.925,3.775,1.4,4.5,5.1,advice,yes,35,every few years,1,4,2.8,yes,yes,56,male
267,3:40,1,84,Right,0,,,,4.5,4.3,2.875,6.5,3.1,5.525,1.8,4,5.5,1.875,-99,-99,advice,yes,20,every few years,1,2,3.2,no,yes,28,female
268,3:44,1,59,Right,0,,,,6.5,1.675,2.425,-99,4.9,6.2,7.375,6.625,1.7,5.7,4.7,3.525,advice,yes,40,every few years,1,4,1.6,yes,yes,59,male
269,2:39,1,103,Right,0,,,,0.325,2.575,3.675,2.55,1.675,2.2,5.75,6.575,1.975,4.1,4.625,-99,advice,yes,7,every few years,1,3,0.5,yes,yes,36,male
270,2:42,1,70,Right,0,,,,7.35,-99,-99,-99,-99,1.15,4.1,4.625,-99,5.725,7.375,6.475,advice,no,,,,4,2.1,yes,yes,41,female
271,2:46,1,40,Right,0,,,,1.4,-99,1.625,-99,-99,3.2,6.6,3.6,1.3,4.1,0.425,3.16,advice,yes,30,every few years,1,4,0.4,unsure,yes,45,male
272,2:51,1,15,Right,0,,,,-99,-99,-99,-99,7.3,3.475,-99,-99,-99,-99,-99,5.7,advice,yes,10,every few years,1,4,5,yes,yes,22,male
273,2:54,1,38,Right,0,,,,1.7,4.025,4.575,-99,2.275,1.85,4.375,2.9,1.8,4.075,4.675,2.475,advice,yes,15,every few years,1,2,1.6,yes,yes,22,male
274,3:03,1,82,Right,0,,,,-99,5.725,3.575,4.375,-99,6.3,5.875,1.825,-99,5.875,2.175,3.1,advice,yes,10,every few years,1,4,5.2,unsure,yes,43,female
275,3:08,1,118,Right,0,,,,1.9,5.7,3.225,4.725,2,4.475,2.575,4,4.375,2.8,7.7,3.375,advice,yes,20,every few years,1,4,5.7,yes,no,49,male
276,3:11,1,92,Right,0,,,,-99,3.975,7.3,-99,1.825,4.675,-99,-99,4.1,4.775,4.5,5.5,advice,yes,10,every few years,1,5,7.9,yes,no,51,female
277,3:20,1,10,Left,0,,,,-99,-99,5.325,-99,-99,-99,4.1,-99,7.25,7.825,4.6,3.3,advice,yes,0.5,a few times a year,2,5,5.3,yes,no,18,female
278,3:25,1,71,Right,0,,,,5.275,3.825,4.775,6.1,3.5,4.2,2.1,5.525,3.8,-99,2,2.2,advice,no,,,,2,2.1,no,yes,22,male
279,3:30,1,53,Right,0,,,,7,7.175,6,5.025,1.825,4.25,-99,3.725,-99,4.4,-99,-99,advice,yes,10,every few years,1,,0,yes,no,22,male
280,3:38,1,47,Right,0,,,,3.575,4,1.325,2,1.675,1.925,2.75,-99,4.45,1.6,1.1,3.9,advice,yes,6,a few times a year,2,4,3,yes,yes,22,female
281,3:41,0,0,Right,1,,,,-99,5.525,3.1,4.4,7.025,-99,-99,5.7,2.325,3.35,4.4,4.675,no advice,yes,13,a few times a year,2,,,,yes,22,female
282,3:45,1,101,Right,0,,,,6.05,5.1,-99,-99,-99,-99,5.875,3.7,3.6,3.125,3,3.6,advice,yes,20,every few years,1,6,8,yes,yes,28,female
283,4:05,1,107,Right,0,,,,-99,-99,-99,-99,-99,-99,-99,6.425,-99,7.6,1.225,-99,advice,yes,15,every few years,1,5,6.9,yes,no,27,female
286,4:21,1,39,Right,0,,,,1.65,3.425,3,2.85,4.625,2.2,4.5,1.2,1.925,5,5.275,1.4,advice,yes,30,every few years,1,4,2,yes,no,41,male
287,2:27,1,113,Right,0,,,,7.975,-99,5.6,-99,2.95,6.425,7.65,2.825,0.6,1.775,2.55,7.825,advice,yes,5,every few years,1,5,8.5,yes,no,29,female
288,2:31,1,102,Right,0,,,,3.6,5.3,4.4,-99,-99,-99,3.8,3.9,6.225,-99,2.375,1.8,advice,no,,,,5,1.5,yes,yes,57,female
289,2:35,1,80,Right,0,,,,7.225,1.8,1.9,1.825,2.175,0.375,2.9,3.5,0.85,4.4,1.1,1.5,advice,yes,10,every few years,1,3,5.6,no,yes,31,female
290,2:37,1,119,Right,0,,,,-99,3.3,7.6,1.975,3.85,-99,4.65,5.475,-99,1.1,1.775,3.875,advice,yes,10,a few times a month,3,5,10,yes,no,40,female
291,2:41,1,56,Right,0,,,,5.1,1.7,3.7,4.375,3.8,1.725,5.175,1.7,7.775,5.775,4.1,0.4,advice,no,,,,2,0.9,yes,yes,20,male
292,2:43,1,90,Right,0,,,,4.15,1.75,3.55,1.725,3.825,1.65,3.2,2.35,7.725,1.875,4.375,3.575,advice,no,,,,4,0.2,yes,no,25,female
293,2:53,1,93,Right,0,,,,-99,4.075,3,-99,4.55,6,2.125,4.175,4.975,3.975,4.6,3.8,advice,yes,15,every few years,1,1,0,no,no,39,male
294,2:56,1,82,Right,0,,,,-99,-99,3.525,7.7,-99,-99,6.075,2.275,4.6,3.2,3.3,1.9,advice,no,,,,3,5.2,unsure,yes,24,female
295,3:00,1,112,Right,0,,,,2.25,3.125,1.725,0.75,3.1,3.725,6.875,3.775,1.9,7.15,0.5,5.8,advice,yes,18,every few years,1,2,1.2,yes,yes,34,female
296,3:03,1,123,Right,0,,,,5.8,4.725,3.975,1.875,-99,-99,7.8,4.2,2.675,3.675,6.075,4.1,advice,no,,,,4,3,unsure,yes,19,male
297,3:08,1,44,Right,0,,,,2.175,6.075,3.35,2.2,5.875,7.7,7.2,1.775,5.3,4.275,5.675,6.075,advice,yes,10,every few years,1,2,2.4,yes,no,31,male
298,3:11,1,50,Right,0,,,,3.4,3.6,3.1,3,2.025,4.055,6.125,4,6.275,1.8,5.975,1.7,advice,yes,10,every few years,1,3,5.9,unsure,no,50,male
299,3:14,1,111,Right,0,,,,4.9,6,6.175,2.375,4,3.275,7.7,-99,5.95,2.325,2.95,4,advice,yes,30,every few years,1,4,7,yes,no,46,male
300,3:18,1,52,Right,2,,,,-99,5.125,-99,5.9,-99,3.6,5.05,5.95,-99,-99,4.5,-99,advice,no,,,,4,5.8,unsure,no,46,female
303,3:33,1,107,Right,4,,,,2.3,-99,6.775,1.15,4.2,3.125,3.175,5.925,-99,-99,-99,3.775,advice,yes,11,every few years,1,5,8.4,yes,yes,31,female
304,3:38,1,107,Right,4,,,,-99,7.55,7.575,4.6,3.625,7.7,3,4.225,-99,5.425,6.075,-99,advice,no,,,,6,9.8,yes,yes,38,female
305,3:41,1,63,Right,4,,,,2.875,4.625,3.625,2.15,3.1,3.2,4.825,3.8,3.525,3.325,7.725,1.625,advice,no,,,,6,9.9,unsure,yes,23,male
306,3:59,1,116,Right,0,,,,3.25,-99,7.425,6.525,-99,3.6,2.875,1.825,6.625,2,3.525,2.9,advice,yes,10,every few years,1,4,5.3,yes,yes,22,male
307,4:07,1,15,Right,0,,,,3.025,3.65,1.725,1.95,5.65,2,3.525,0.825,2.975,4.05,1.85,1.7,advice,yes,4,every few years,1,4,6.8,yes,yes,22,male
308,4:12,1,9,Right,0,,,,1.5,1.4,2.1,0.5,2.55,1.625,1.825,1.375,1.725,1.625,1.65,1.9,advice,yes,30,a few times a year,2,2,4.9,unsure,no,52,male
309,4:15,1,42,Right,1,,,,6.35,6.4,4.25,3.525,-99,1.875,5.125,1.65,-99,0.4,3.15,3.45,advice,no,,,,4,1.5,unsure,yes,52,female
310,4:19,1,103,Right,0,,,,2.775,4.1,3,4.675,0.5,0.875,7.6,6.375,4.225,7.225,2.175,5.5,advice,yes,10,a few times a year,2,4,3.1,yes,yes,20,female
311,4:21,1,117,Right,2,,,,2.675,1.625,-99,-99,4.4,3.7,3.575,-99,3.325,-99,5.8,1.05,advice,yes,14,a few times a year,2,4,0,unsure,yes,24,male
312,4:24,1,124,Right,2,,,,-99,3.475,4.15,1.8,1.75,1.675,1.8,0.9,4.225,0.55,3.1,1.875,advice,yes,2,a few times a month,3,4,5.7,yes,yes,24,male
313,4:27,1,110,Right,2,,,,3.675,3.125,2.1,3.6,3.075,3.6,1,4.25,1.6,3.7,2.1,2.825,advice,yes,4,a few times a year,2,5,6.3,yes,yes,18,female
315,3:03,1,8,Right,0,,,,3.1,1.65,3.75,2.8,1.7,1.775,0.75,1.175,6.175,3.075,2.9,3.05,advice,yes,6,a few times a year,2,5,4.4,unsure,no,21,female
316,3:10,1,48,Right,1,,,,7.75,8.725,-99,0.825,5.475,0.975,5.875,-99,4.8,1.9,4.475,1.85,advice,yes,20,every few years,1,4,4.3,yes,yes,29,female
317,3:13,1,63,Left,2,,,,-99,-99,-99,4,7.7,2.175,3.7,7.6,3.1,3.35,0.525,5.025,advice,yes,15,every few years,1,4,2.6,unsure,yes,29,female
318,3:16,0,0,Right,0,,,,2.9,1.9,0.525,5.1,5.35,1.325,4.025,2.9,-99,2.225,0.475,3.6,no advice,yes,30,every few years,1,,,,yes,46,male
319,3:18,1,86,Right,2,,,,-99,7.65,3.55,-99,5.35,3.6,7.2,4.4,4.325,7.75,4.525,-99,advice,yes,40,every few years,1,4,2.5,yes,yes,47,female
320,3:20,1,67,Right,0,,,,2.025,2.7,-99,4.025,4.8,-99,4.6,2.9,3.45,2.1,3.1,1.4,advice,no,,,,4,3.4,yes,yes,19,male
321,3:24,1,74,Right,0,,,,-99,-99,1.7,-99,5.825,-99,-99,-99,-99,-99,-99,6.6,advice,yes,8,every few years,1,1,0.1,yes,yes,18,male
322,3:28,1,10,Right,0,,,,4.525,3.5,-99,7.7,-99,-99,-99,8.775,6.475,4.825,-99,-99,advice,yes,2,every few years,1,3,2,yes,yes,24,male
323,3:33,1,47,Right,5,,,,4.75,4.125,3.825,4,4.425,1,1.7,6.3,6.525,1.4,4.55,3.7,advice,no,,,,4,5.8,yes,yes,18,female
325,3:38,1,66,Right,5,,,,5.325,3.825,-99,2.025,1.8,0.425,-99,3.25,3.075,7.05,1.9,0.85,advice,no,,,,1,0.6,no,yes,53,male
326,3:47,1,106,Right,0,,,,7.6,4.5,4.475,1.425,4.175,5.225,3.075,7.4,-99,-99,7.625,-99,advice,yes,1,every few years,1,3,1.9,yes,yes,20,female
327,3:49,1,108,Left,0,,,,-99,0.5,-99,-99,-99,4.35,1.775,7.85,3.25,7.25,2.8,-99,advice,yes,,,,5,6.7,yes,yes,27,female
328,3:54,1,50,Right,0,,,,4.775,5.2,0.4,0.8,4.25,2.1,5.925,3.15,1.9,2.85,1.85,4.5,advice,yes,35,every few years,1,2,0.8,unsure,yes,47,male
329,3:57,1,58,Right,0,,,,6.375,3.25,5.375,1.9,0.7,1.675,3.175,6.975,2.7,-99,4.3,3.725,advice,no,,,,2,0.2,yes,yes,22,female
330,3:59,1,115,Right,0,,,,2.925,5.15,2.975,1.375,0.4,0.6,-99,3.575,-99,6.325,1.025,2.8,advice,yes,2,every few years,1,3,0.8,yes,yes,21,male
331,4:07,1,75,Right,0,,,,1.7,3.65,1.725,5.375,1.05,0.6,3.1,0.9,2.875,3.2,1.95,1.1,advice,yes,5,every few years,1,4,5.8,yes,no,23,male
333,4:13,1,85,Right,0,,,,0.975,2.35,2.55,2.475,2.1,1.7,1.825,2.025,1.225,4.725,3.3,1.95,advice,yes,20,every few years,1,4,4.8,no,yes,42,male
334,4:16,1,98,Right,0,,,,4.8,7.2,1.8,3.6,2.225,5.1,2.675,5,5.7,2.5,4.8,2.3,advice,yes,20,a few times a year,2,4,0.5,yes,yes,42,female
338,2:47,1,91,Left,0,,,,-99,7.85,4.275,7.875,3,1.375,1.7,4.7,7.95,1.85,4.7,6.4,advice,yes,17,every few years,1,5,4.7,yes,yes,22,female
339,2:50,1,8,Right,0,,,,4.475,7.325,-99,3.2,7.9,-99,4.475,2.075,3.65,7.375,-99,1.425,advice,yes,15,every few years,1,4,6,yes,yes,21,female
340,2:53,1,73,Right,1,,,,4.725,-99,2.1,6.6,3.5,2.875,3.025,6.45,-99,1.6,3.475,6.3,advice,yes,3,every few years,1,4,5,yes,yes,27,female
342,2:59,1,61,Right,0,,,,-99,3.225,3.275,0.675,2.9,5.225,-99,7.7,7.6,-99,-99,-99,advice,yes,40,every few years,1,3,0,unsure,yes,57,female
343,3:02,1,116,Right,0,,,,1.4,2.325,2.6,0.75,3,2.7,5.75,2.875,1.05,1.2,2.35,3.35,advice,yes,25,every few years,1,4,6.6,yes,yes,61,male
344,3:04,1,48,Right,0,,,,1.325,4.575,4.1,3.5,1.45,6.5,7.2,2.975,1.275,5.975,3.825,8.65,advice,yes,50,every few years,1,4,5.7,yes,yes,77,male
345,3:07,1,117,Right,0,,,,-99,-99,-99,-99,5.7,2.1,7.525,7.5,-99,2.3,-99,-99,advice,yes,3,every few years,1,4,4.9,yes,yes,28,female
346,3:08,1,83,Right,0,,,,3.725,0.375,3.1,4.5,2.875,1.675,0.8,2.95,2,1.875,2.9,2.5,advice,yes,4,a few times a year,2,4,4.9,yes,yes,25,male
347,3:10,0,0,Right,0,,,,-99,6.3,-99,-99,-99,8.8,4.625,5.2,4.775,-99,5.7,-99,no advice,yes,20,every few years,1,,,,yes,35,male
348,3:14,1,105,Right,0,,,,2,3.675,0.4,3.9,-99,2.9,0.4,0.8,1.475,6.525,2.2,1.9,advice,yes,30,a few times a year,2,4,6.3,yes,yes,50,male
349,3:18,1,96,Right,0,,,,4.9,4.825,4.625,-99,1.7,-99,5.45,3.55,3.275,7.625,4,3,advice,yes,3,every few years,1,4,5.8,yes,yes,19,female
350,3:20,1,122,Right,0,,,,3.55,3.925,4.1,6.825,2.775,2,4.225,2.925,3.225,3.6,1.1,3.225,advice,yes,10,every few years,1,4,6.8,yes,yes,20,male
351,3:26,1,75,Right,0,,,,6.25,2,2.25,2.625,4.025,6.625,3.45,4.625,6.025,2.2,3.425,4.575,advice,yes,10,every few years,1,4,5,unsure,yes,24,male
352,3:33,1,88,Right,0,,,,1.3,2,-99,-99,4.225,1.7,3.05,0.9,2.1,2.6,4.175,1.7,advice,yes,15,every few years,1,4,6.1,yes,yes,23,female
353,3:35,1,84,Right,0,,,,4.25,4.375,5.7,0.9,5.5,3,0.6,4.075,0.5,3.525,4.75,1.225,advice,yes,10,every few years,1,3,0.6,no,yes,20,male
356,3:56,0,0,Right,0,,,,7.4,-99,6.1,-99,-99,-99,-99,4,4.7,4.5,5.425,5.3,no advice,no,,,,,,,no,20,female
357,3:59,0,0,Right,0,,,,-99,-99,-99,3.675,-99,-99,5.4,0.9,3.7,-99,-99,-99,no advice,no,,,,,,,no,20,female
358,4:04,1,89,Right,0,,,,6.4,4.1,7.775,7.175,5.425,2.275,-99,1.25,5.475,2.375,4.6,7.05,advice,no,,,,3,0,yes,yes,37,female
359,4:06,1,53,Right,0,,,,-99,6.1,7.425,1.9,2.8,2.8,1.35,3.475,7.7,3.1,0.95,4.625,advice,no,,,,2,,yes,yes,60,female
360,4:09,1,61,Right,0,,,,-99,6.35,-99,-99,-99,7.1,5.25,5.475,4.65,2.8,3.775,-99,advice,yes,10,every few years,1,4,5,unsure,yes,42,male
363,2:50,1,110,Right,0,,,,5.6,5.3,2.675,5.15,3.8,1.4,3.475,1.425,4.525,1.05,3.35,6.15,advice,yes,10,a few times a year,2,4,6.5,unsure,yes,21,female
365,2:58,0,0,Right,0,,,,-99,-99,4.775,5.025,-99,5.925,4.075,2.7,4.475,3.5,2,5.025,no advice,no,,,,,,,no,23,female
366,3:01,0,0,Right,0,,,,1.3,-99,3.625,-99,7.5,2.725,4.5,-99,3.55,5.65,3.2,-99,no advice,no,,,,,,,no,24,female
367,3:04,1,38,Right,0,,,,7.075,-99,6.225,5.75,3.25,6.475,-99,0.5,5.25,7.55,1.1,7.15,advice,yes,10,every few years,1,5,6,yes,no,25,male
368,3:06,0,0,Right,0,,,,-99,5.5,1.8,4.325,2.975,1.725,-99,2.025,2.55,2.25,4.3,2.1,no advice,yes,4,a few times a year,2,,,,yes,23,male
369,3:08,0,0,Right,0,,,,4.775,1.325,0.625,6.05,0.425,1.5,1.825,1.475,2.625,2.525,3.425,1.5,no advice,yes,7,a few times a year,2,,,,yes,23,male
370,3:10,1,58,Right,0,,,,3.875,2.4,1.025,4.275,1.6,1.25,3.8,5.75,2.5,4.375,3.7,2.875,advice,yes,3,a few times a year,2,1,0,no,yes,21,male
371,3:18,0,0,Right,0,,,,3.2,1.975,2.3,-99,1.05,-99,7.4,4.2,2.2,3.475,7.525,5.025,no advice,yes,9,every few years,1,,,,yes,32,female
372,3:21,0,0,Right,0,,,,0.9,2.5,3.275,1.975,1.45,1.6,3.6,4.1,3.4,1.95,0.575,3.75,no advice,yes,20,a few times a year,2,,,,yes,34,male
373,3:25,0,0,Right,0,,,,3.375,4.525,1.425,4.9,5.2,7.575,3.2,2.3,3.725,4.125,3.75,4.6,no advice,yes,18,every few years,1,,,,yes,24,male
374,3:28,1,91,Left,0,,,,-99,3.475,-99,3.825,3.9,2.3,1.3,1.85,2.6,0.25,3.8,-99,advice,yes,6,every few years,1,4,6.4,yes,yes,32,female
375,2:20,0,0,Right,0,,,,5.925,3.5,2.6,2.85,5.325,1.525,4.2,0.75,5.525,4.5,4.3,1.1,no advice,yes,18,every few years,1,,,,yes,38,male
376,2:25,0,0,Right,0,,,,4.95,3.8,0.775,2.9,-99,1.3,2.35,-99,2.8,0.8,1.2,2.5,no advice,yes,1,a few times a year,2,,,,no,44,male
377,2:29,1,42,Right,0,,,,3.825,2.775,-99,6.9,3.525,3.025,2.475,3.9,-99,5.05,4.3,3.95,advice,no,,,,5,6.9,yes,no,30,male
378,2:34,0,0,Right,0,,,,6.1,-99,1.05,-99,7.65,3.8,7.5,6.4,6.375,1.275,3.85,-99,no advice,no,,,,,,,no,18,female
379,2:37,1,56,Right,0,,,,6.45,-99,6.525,-99,3.625,2.675,2.6,3.375,4.225,2.55,5,2.45,advice,yes,6,every few years,1,3,3.3,yes,yes,19,female
380,2:42,0,0,Right,0,,,,5.65,5.1,6.025,3.8,3.95,0.8,3.875,5.1,3.5,1.6,2.75,4.8,no advice,yes,65,a few times a week,4,,,,yes,72,male
381,2:52,0,0,Right,0,,,,1.175,1.35,3.15,3,1.8,2.125,0.75,0.925,2.75,1.925,3.875,4.225,no advice,yes,18,every few years,1,,,,yes,31,male
382,2:55,0,0,Right,0,,,,3.4,7.1,1.275,1.05,0.65,-99,0.575,2,1.7,-99,-99,5.175,no advice,no,,,,,,,no,26,female
383,3:09,0,0,Right,0,,,,2.3,4.25,1.875,3.5,2.625,3.45,5.1,1.45,1.425,0.5,1.975,2.55,no advice,yes,20,every few years,1,,,,yes,76,male
384,3:12,1,112,Right,0,,,,1.45,4.3,4.45,5.625,4.3,1.3,1.15,5,1.6,4.4,2.9,4.65,advice,no,,,,4,3.7,yes,yes,71,male
385,3:16,1,104,Right,0,,,,6.45,5,6.725,6.1,6.5,7.675,-99,3.8,7.425,5.75,7.55,2.55,advice,yes,5,every few years,1,1,1.5,unsure,yes,18,female
386,3:20,0,0,Right,0,,,,6.675,-99,-99,3.8,5.25,7.45,-99,-99,7.3,-99,0,3.375,no advice,yes,5,every few years,1,,,,no,27,male
387,3:23,1,46,Right,0,,,,-99,3.4,4.575,-99,-99,5.875,-99,4.65,-99,7.4,5.975,4,advice,yes,8,every few years,1,3,5.4,yes,yes,29,female
388,3:27,0,0,Left,0,,,,1.25,2.5,5.025,2.2,5.1,1.3,3.3,3,1.8,3.1,2.35,2.5,no advice,yes,3,a few times a year,2,,,,yes,25,male
389,3:50,1,88,Right,0,,,,2.8,8.75,4.925,0.7,3.65,2.6,1.1,-99,6.15,6.55,3.7,5,advice,yes,10,every few years,1,4,2.6,yes,yes,26,female
390,3:53,1,102,Right,0,,,,-99,5.4,3.275,6.85,-99,6.8,2.6,1.725,3.825,-99,3.7,5.7,advice,yes,6,every few years,1,5,7.4,yes,yes,26,female
391,4:07,0,0,Right,0,,,,2.5,2,4.1,1.475,3.95,2.95,3.575,0,4,2.775,2.675,-99,no advice,yes,3,every few years,1,,,,yes,18,male
392,4:09,0,0,Right,0,,,,0.575,1.725,3.925,3.5,1.25,0.4,3.075,2.8,1.05,4.2,-99,4.05,no advice,no,,,,,,,yes,22,female
393,4:12,0,0,Left,0,,,,-99,5,5.175,4.55,7.575,1.875,2.875,2.7,1,5.975,6.15,4.175,no advice,yes,15,a few times a year,2,,,,yes,36,female
394,4:16,0,0,Right,0,,,,1.65,3.95,2.8,1.525,1.3,1.8,5.45,1.3,3.3,1.4,0.5,2.7,no advice,yes,8,a few times a year,2,,,,yes,28,male
395,4:21,1,76,Right,0,,,,3.9,5.8,1.8,4.4,1.75,-99,7.55,2.75,1.45,7.7,1.7,1.325,advice,yes,4,every few years,1,4,0,no,yes,20,male
396,4:25,0,0,Right,0,,,,4.3,1.65,5.75,1,-99,4.1,4.25,1.775,4.475,3.25,2.675,4.1,no advice,no,,,,,,,no,42,male
397,4:28,1,70,Right,0,,,,1.45,4.55,2.6,4.05,-99,-99,2.925,-99,5.175,1.35,1.9,7.525,advice,yes,5,every few years,1,3.5,1.1,unsure,no,26,female
398,2:54,1,92,Right,0,,,,-99,-99,-99,-99,-99,7.4,-99,1.275,2.15,5.875,-99,5.4,advice,yes,5,every few years,1,5,,yes,yes,27,female
399,2:59,1,109,Right,0,,,,-99,3.2,3.725,4.5,2.65,-99,1.95,1.15,-99,5.35,3.5,4.25,advice,yes,20,every few years,1,6,2.7,unsure,no,31,male
400,3:02,1,111,Right,0,,,,1.4,6.175,2.55,1.325,3.1,1.45,5.25,3.95,3.1,2,4.15,1.425,advice,yes,3,a few times a year,2,4,0.5,no,no,31,female
